NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2017;294;3;1;10028;5710;1;2806701;28;2
2017;295;3;1;10028;6008;1;2806701;28;2
2017;297;3;1;10028;702;1;2806701;28;2
2017;299;3;1;10028;6008;1;2806701;28;2
2017;310;3;1;10028;3001;1;2806701;28;2
2017;311;3;1;10028;2402;1;2806701;28;2
2017;315;3;1;10028;2001;1;2806701;28;2
2017;317;3;1;10028;4004;1;2806701;28;2
2017;318;3;1;10028;5401;1;2806701;28;2
2017;321;3;1;10028;701;1;2806701;28;2
2017;322;3;1;10028;1501;1;2806701;28;2
2017;326;3;1;10028;3202;1;2806701;28;2
2017;327;3;1;10028;1602;1;2806701;28;2
2017;328;3;1;10028;3002;1;2806701;28;2
2017;487;5;1;10028;3502;1;2211001;22;2
2017;494;5;1;10028;2402;1;2211001;22;2
2017;495;5;1;10028;3002;1;2211001;22;2
2017;496;5;1;10028;3202;1;2211001;22;2
2017;498;5;1;10028;5401;1;2211001;22;2
2017;512;5;1;10028;5710;1;2211001;22;2
2017;513;5;1;10028;4004;1;2211001;22;2
2017;517;5;1;10028;21;1;2211001;22;2
2017;518;5;1;10028;1401;1;2211001;22;2
2017;519;5;1;10028;1501;1;2211001;22;2
2017;520;5;1;10028;701;1;2211001;22;2
2017;525;5;1;10028;1601;1;2211001;22;2
2017;950;11;5;10028;3202;1;2611606;26;2
2017;954;11;5;10028;2001;1;2611606;26;2
2017;955;11;5;10028;2402;1;2611606;26;2
2017;964;11;5;10028;5710;1;2611606;26;2
2017;965;11;5;10028;702;1;2611606;26;2
2017;966;11;5;10028;1402;1;2611606;26;2
2017;968;11;5;10028;4004;1;2611606;26;2
2017;970;11;5;10028;6008;1;2611606;26;2
2017;971;11;5;10028;1502;1;2611606;26;2
2017;972;11;5;10028;1602;1;2611606;26;2
2017;2108;24;2;10028;3202;1;2913606;29;2
2017;2109;24;2;10028;904;1;2913606;29;2
2017;2110;24;2;10028;2001;1;2913606;29;2
2017;2194;29;2;10028;4301;1;2304400;23;2
2017;2197;29;2;10028;3202;1;2304400;23;2
2017;2199;29;2;10028;2402;1;2304400;23;2
2017;2204;29;2;10028;2001;1;2307601;23;2
2017;2205;29;2;10028;3002;1;2307601;23;2
2017;2206;29;2;10028;2402;1;2307601;23;2
2017;2208;29;2;10028;2001;1;2311306;23;2
2017;2209;29;2;10028;4004;1;2304400;23;2
2017;2211;29;2;10028;2001;1;2304103;23;2
2017;2212;29;2;10028;2001;1;2306405;23;2
2017;2213;29;2;10028;2402;1;2311306;23;2
2017;2215;29;2;10028;2001;1;2305506;23;2
2017;2216;29;2;10028;2001;1;2304400;23;2
2017;2217;29;2;10028;5402;1;2304400;23;2
2017;2221;29;2;10028;2001;1;2313302;23;2
2017;3561;71;2;10028;2001;1;2408003;24;2
2017;3563;71;2;10028;3502;1;2408003;24;2
2017;3567;71;2;10028;5402;1;2408003;24;2
2017;3568;71;2;10028;2402;1;2408003;24;2
2017;3569;71;2;10028;3002;1;2408003;24;2
2017;3571;71;2;10028;702;1;2408003;24;2
2017;3572;71;2;10028;1402;1;2408003;24;2
2017;3573;71;2;10028;1502;1;2408003;24;2
2017;3574;71;2;10028;1602;1;2408003;24;2
2017;3611;73;7;10022;905;1;2601201;26;2
2017;3612;73;7;10022;2402;1;2601201;26;2
2017;3613;73;7;10022;1602;1;2601201;26;2
2017;3614;73;7;10022;3002;1;2601201;26;2
2017;3615;73;7;10022;702;1;2601201;26;2
2017;4088;95;2;10028;3502;1;2312908;23;2
2017;4090;95;2;10028;2001;1;2312908;23;2
2017;4092;95;2;10028;2402;1;2312908;23;2
2017;4186;3304;4;10022;2001;1;2510808;25;2
2017;4652;144;5;10022;2001;1;2609600;26;2
2017;4653;144;5;10022;905;1;2609600;26;2
2017;4836;159;5;10022;2402;1;2604106;26;2
2017;4838;159;5;10022;2001;1;2604106;26;2
2017;4848;160;5;10022;2001;1;2611606;26;2
2017;4850;160;5;10022;1602;1;2611606;26;2
2017;7682;352;4;10020;3502;1;2507507;25;2
2017;8262;398;4;10028;702;1;2800308;28;2
2017;8264;398;4;10028;21;1;2800308;28;2
2017;8390;1034;5;10022;2001;1;2609600;26;2
2017;8392;1034;5;10022;2402;1;2609600;26;2
