NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2017;113552;548;1;10028;4005;1;2103307;21;2
2017;113671;587;1;10028;4005;0;2611606;26;2
2017;113687;587;1;10028;4006;0;2611606;26;2
2017;113813;600;1;10026;4006;1;2111300;21;2
2017;113867;1944;4;10022;79;1;2611606;26;2
2017;114053;550;2;10028;4005;1;2510808;25;2
2017;114616;4742;5;10022;4006;1;2609600;26;2
2017;116590;599;1;10026;72;1;2927408;29;2
2017;116770;570;1;10028;4006;1;2402006;24;2
2017;117022;1885;4;10022;4006;1;2111300;21;2
2017;118420;587;1;10028;4006;1;2611606;26;2
2017;118468;587;1;10028;4004;1;2606002;26;2
2017;119174;385;4;10028;79;1;2910800;29;2
2017;119534;4700;4;10022;4004;1;2611606;26;2
2017;119970;2037;4;10022;79;1;2919207;29;2
2017;120172;1735;4;10020;72;1;2307304;23;2
2017;121227;398;4;10028;4005;0;2800308;28;2
2017;121564;409;2;10028;4005;1;2606002;26;2
2017;123400;599;1;10026;4005;1;2928604;29;2
2017;123502;599;1;10026;4005;1;2932903;29;2
2017;1047907;4118;4;10020;4006;1;2610707;26;2
2017;1053121;13106;4;10022;72;1;2304400;23;2
2017;1053123;13106;4;10022;79;1;2304400;23;2
2017;1058390;2122;4;10022;79;1;2800308;28;2
2017;1058492;1772;4;10020;72;1;2304400;23;2
2017;1058504;1772;4;10020;79;1;2304400;23;2
2017;1070485;2150;4;10022;4004;1;2211001;22;2
2017;1076195;2043;4;10022;72;1;2305407;23;2
2017;1101244;3160;1;10026;4006;1;2704302;27;2
2017;1102011;2642;5;10022;4006;1;2706406;27;2
2017;1102628;587;1;10028;4004;1;2611606;26;2
2017;1103633;14509;1;10026;72;1;2907509;29;2
2017;1103723;1455;5;10022;4006;1;2900702;29;2
2017;1104245;1452;4;10022;79;1;2111300;21;2
2017;1106267;13897;4;10022;79;1;2111300;21;2
2017;1106470;4964;4;10022;72;1;2103000;21;2
2017;1107880;1504;5;10020;4006;1;2704302;27;2
2017;1114770;519;5;10028;79;1;2927408;29;2
2017;1117071;396;4;10022;79;1;2927408;29;2
2017;1117715;589;1;10028;4005;1;2400802;24;2
2017;1117717;589;1;10028;4006;1;2400802;24;2
2017;1118057;599;1;10026;4006;1;2933307;29;2
2017;1118107;396;4;10022;72;1;2927408;29;2
2017;1122749;599;1;10026;72;1;2910727;29;2
2017;1125808;599;1;10026;4005;1;2925303;29;2
2017;1125917;3161;1;10026;4005;1;2611101;26;2
2017;1127191;583;1;10028;79;1;2311306;23;2
2017;1128808;4153;4;10020;79;1;2611606;26;2
2017;1132918;578;1;10028;4006;1;2927408;29;2
2017;1136142;580;1;10028;4006;1;2611606;26;2
2017;1149495;1077;4;10020;79;1;2611606;26;2
2017;1151555;2497;4;10022;79;1;2304400;23;2
2017;1151687;1978;4;10022;72;1;2304400;23;2
2017;1158385;1363;5;10022;72;1;2927408;29;2
2017;1161716;1978;4;10022;4006;1;2304400;23;2
2017;1163800;14509;1;10026;72;1;2911709;29;2
2017;1164214;2067;4;10022;72;1;2928703;29;2
2017;1166239;519;5;10028;72;1;2927408;29;2
2017;1166493;1820;1;10026;4005;1;2211001;22;2
2017;1166614;1166;1;10026;72;1;2509701;25;2
2017;1166783;600;1;10026;4004;1;2105302;21;2
2017;1169188;4121;5;10022;4006;1;2800308;28;2
2017;1172346;555;5;10028;72;1;2304400;23;2
2017;1174506;2497;4;10022;79;1;2304400;23;2
2017;1178627;3741;4;10022;4006;1;2101202;21;2
2017;1179354;352;4;10020;79;1;2507507;25;2
2017;1180836;2497;4;10022;72;1;2304400;23;2
2017;1180846;2497;4;10022;72;1;2304400;23;2
2017;1181115;1807;1;10026;4004;1;2301109;23;2
2017;1181327;3183;1;10026;4006;1;2803500;28;2
2017;1183332;1082;1;10026;72;1;2409407;24;2
2017;1186003;1820;1;10026;72;1;2208007;22;2
2017;1188193;570;1;10028;72;1;2407104;24;2
2017;1190071;550;2;10028;4004;1;2504009;25;2
2017;1190145;756;2;10028;4004;1;2208403;22;2
2017;1190615;398;4;10028;79;1;2800308;28;2
2017;1191424;1807;1;10026;79;1;2306900;23;2
2017;1203177;1640;4;10020;4006;1;2923803;29;2
2017;1203266;579;1;10028;4005;0;2507507;25;2
2017;1204870;1107;4;10020;79;1;2304400;23;2
2017;1206001;1107;4;10020;72;1;2304400;23;2
2017;1258063;3099;4;10022;4004;1;2507507;25;2
2017;1258369;2189;4;10022;72;1;2111300;21;2
2017;1258651;1255;4;10020;72;1;2611606;26;2
2017;1259867;1077;4;10020;72;1;2611606;26;2
2017;1265453;550;2;10028;4004;1;2510808;25;2
2017;1269545;600;1;10026;4004;1;2103000;21;2
2017;1270596;583;1;10028;4004;1;2311306;23;2
2017;1279275;589;1;10028;4005;0;2408003;24;2
2017;1295073;718;4;10028;72;0;2408102;24;2
2017;1300041;1185;4;10020;72;1;2927408;29;2
2017;1300043;1185;4;10020;79;1;2927408;29;2
2017;1313397;2835;4;10020;72;0;2611606;26;2
2017;1314243;1807;1;10026;4006;1;2303808;23;2
2017;1315446;718;4;10028;79;1;2408102;24;2
2017;1327314;756;2;10028;4005;1;2207801;22;2
2017;1332960;29;2;10028;4005;0;2304400;23;2
2017;1333909;398;4;10028;72;0;2800308;28;2
2017;5000135;1807;1;10026;4006;1;2304202;23;2
2017;5000141;1807;1;10026;79;1;2302800;23;2
2017;5000143;1807;1;10026;4004;1;2307650;23;2
2017;5001178;3962;5;10020;72;1;2927408;29;2
2017;5001179;3962;5;10020;79;1;2927408;29;2
