NU_ANO_CENSO,CO_IES,CO_CURSO,NO_CURSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF
2021,579,1203266,Computação E Informática,,,,,
2021,579,1261913,Letras - Espanhol,,,,,
2021,579,1261910,Letras - Inglês,,,,,
2021,579,109954,Letras - Língua Portuguesa,,,,,
2021,579,1126690,Letras - Língua Portuguesa E Libras,,,,,
2021,579,109948,Matemática,,,,,
2021,579,109950,Pedagogia,,,,,
2021,580,1579738,Ciências Biológicas,,,,,
2021,580,1292716,Ciências Contábeis,,,,,
2021,580,1330038,Geografia,,,,,
2021,580,1137847,Letras - Lingua Espanhola,,,,,
2021,580,121487,Letras - Língua Portuguesa,,,,,
2021,580,1137846,Matemática,,,,,
2021,581,1458233,Biblioteconomia,,,,,
2021,581,1484894,Ciências Biológicas,,,,,
2021,581,1421331,Ciências Da Natureza Para Os Anos Finais Do Ensino Fundamental,,,,,
2021,581,1442394,Ciências Sociais,,,,,
2021,581,1576704,Computação E Robótica Educativa,,,,,
2021,581,1287874,Desenvolvimento Rural,,,,,
2021,581,1442393,Geografia,,,,,
2021,581,101894,Pedagogia,,,,,
2021,581,1442524,Pedagogia,,,,,
2021,582,1382798,Ciências Da Religião,,,,,
2021,582,1385714,Computação,,,,,
2021,582,1382797,Educação Do Campo,,,,,
2021,582,1150788,Educação Especial,,,,,
2021,582,1468910,Educação Indígena,,,,,
2021,582,120174,Física,,,,,
2021,582,1296468,Geografia,,,,,
2021,582,120176,Letras - Espanhol,,,,,
2021,582,113349,Letras - Português,,,,,
2021,582,113347,Pedagogia,,,,,
2021,582,5000556,Sociologia,,,,,
2021,583,1216500,Administração Pública,,,,,
2021,583,113757,Física,,,,,
2021,583,1259003,Letras - Espanhol,,,,,
2021,583,100376,Letras - Inglês,,,,,
2021,583,100375,Letras - Língua Portuguesa,,,,,
2021,583,100369,Matemática,,,,,
2021,583,1160850,Pedagogia,,,,,
2021,583,100367,Química,,,,,
2021,584,1147015,Artes Cênicas,,,,,
2021,584,1160314,Artes Visuais,,,,,
2021,584,1602381,Biblioteconomia,,,,,
2021,585,1130129,Administração,,,,,
2021,585,123582,Administração Pública,,,,,
2021,585,113459,Ciências Biológicas,,,,,
2021,585,113467,Ciências Contábeis,,,,,
2021,585,113465,Ciências Econômicas,,,,,
2021,585,113457,Filosofia,,,,,
2021,585,99482,Física,,,,,
2021,585,113461,Letras - Espanhol,,,,,
2021,585,99454,Letras - Libras,,,,,
2021,585,113485,Letras - Libras,,,,,
2021,585,113463,Letras - Português,,,,,
2021,585,99460,Matemática,,,,,
2021,586,63484,Ciências Biológicas,,,,,
2021,586,1442964,Ciências Contábeis,,,,,
2021,586,63486,Física,,,,,
2021,586,123365,Química,,,,,
2021,587,1152250,Administração Pública,,,,,
2021,587,1151733,Artes Visuais,,,,,
2021,587,113671,Computação,,,,,
2021,587,88608,Física,,,,,
2021,587,1152360,História,,,,,
2021,587,1152005,Letras - Português,,,,,
2021,587,1152584,Pedagogia,,,,,
2021,587,113687,Sistema De Informação,,,,,
2021,589,1279275,Computação,,,,,
2021,589,1324507,Física,,,,,
2021,589,1154825,Matemática,,,,,
2021,589,1324508,Química,,,,,
2021,590,1311078,Ciências Biológicas,,,,,
2021,591,1342601,Design Educacional,,,,,
2021,592,1148207,Administração Pública,,,,,
2021,592,1160837,Letras - Língua Portuguesa,,,,,
2021,592,1185341,Pedagogia,,,,,
2021,595,122772,Ciências Biológicas,,,,,
2021,595,1170205,Pedagogia,,,,,
2021,595,122774,Química,,,,,
2021,596,1168159,Administração Pública,,,,,
2021,596,1165135,Física,,,,,
2021,596,1166758,Matemática,,,,,
2021,596,1466648,Pedagogia,,,,,
2021,596,1168156,Química,,,,,
2021,597,1466075,Pedagogia,,,,,
2021,598,1141284,Física,,,,,
2021,634,1292739,Filosofia,,,,,
2021,634,1536203,História,,,,,
2021,634,1153383,Letras - Espanhol,,,,,
2021,634,113907,Matemática,,,,,
2021,693,1563056,Biblioteconomia,,,,,
2021,693,119100,História,,,,,
2021,693,108734,Matemática,,,,,
2021,693,57278,Pedagogia,,,,,
2021,693,1173591,Turismo,,,,,
2021,694,1184985,Administração Pública,,,,,
2021,694,1159054,Ciências Biológicas,,,,,
2021,694,1537820,Educação E Processos De Trabalho: Alimentação Escolar,,,,,
2021,694,1260720,Educação Física,,,,,
2021,694,123176,Letras - Português E Espanhol,,,,,
2021,694,55838,Pedagogia,,,,,
2021,699,107868,Letras - Português,,,,,
2021,789,1466724,Geografia,,,,,
2021,789,1184530,Informática,,,,,
2021,789,1185309,Matemática,,,,,
2021,830,1262698,Administração Pública,,,,,
2021,830,1179010,Educação Física,,,,,
2021,830,1467097,Letras - Inglês,,,,,
2021,830,1427465,Letras - Português,,,,,
2021,830,1278673,Matemática,,,,,
2021,830,1427468,Sociologia,,,,,
2021,3849,1292645,Administração Pública,,,,,
2021,3849,114120,Biologia,,,,,
2021,3849,1135693,Física,,,,,
2021,3849,1313067,Matemática,,,,,
2021,3849,1537832,Música - Música Popular Brasileira,,,,,
2021,3849,1135769,Química,,,,,
2021,3984,1270516,Administração Pública,,,,,
2021,3984,1466620,Ciência Da Computação,,,,,
2021,3984,1380817,Ciências Biológicas,,,,,
2021,3984,1425260,Educação Física,,,,,
2021,3984,1545846,Letras - Libras,,,,,
2021,3984,1313320,Pedagogia,,,,,
2021,4503,1453214,Interdisciplinar Em Artes,,,,,
2021,4503,1139335,Matemática,,,,,
2021,4503,1453215,Música - Música Popular Brasileira,,,,,
2021,4504,1204217,Administração Pública,,,,,
2021,4504,1550896,Ciências Biológicas,,,,,
2021,4504,1186519,Computação,,,,,
2021,4504,1550900,Educação Física,,,,,
2021,4504,1260225,Física,,,,,
2021,4504,1551001,Gestão De Recursos Humanos,,,,,
2021,4504,1260260,Letras - Libras,,,,,
2021,4504,1451175,Letras Libras - Tradutor/Intérprete Em Libras,,,,,
2021,4504,1127355,Pedagogia,,,,,
2021,5322,1438934,Administração Pública,,,,,
2021,5322,1458100,Ciências Da Natureza,,,,,
2021,5322,1427496,Geografia,,,,,
2021,5322,1479185,História,,,,,
2021,5322,1214744,Letras - Português,,,,,
2021,5322,1427497,Pedagogia,,,,,
2021,15497,1192453,Administração Pública,,,,,
2021,25274,1188879,Administração Pública,,,,,
2021,25274,1321334,Matemática,,,,,
2021,9,1343863,Computação,,,,,
2021,24,100672,Biologia,,,,,
2021,24,150280,Física,,,,,
2021,24,150281,Letras - Língua Portuguesa,,,,,
2021,24,1575689,Matemática,,,,,
2021,24,150282,Pedagogia,,,,,
2021,29,1151706,Administração Pública,,,,,
2021,29,1152477,Artes Visuais,,,,,
2021,29,1332960,Ciência Da Computação,,,,,
2021,29,1151677,Ciências Biológicas,,,,,
2021,29,1586778,Ciências Contábeis,,,,,
2021,29,1332952,Educação Física,,,,,
2021,29,1151669,Física,,,,,
2021,29,1200069,Geografia,,,,,
2021,29,1333032,História,,,,,
2021,29,1151448,Informática,,,,,
2021,29,1151457,Matemática,,,,,
2021,29,1151646,Pedagogia,,,,,
2021,29,1151671,Química,,,,,
2021,32,1468159,Física,,,,,
2021,32,1193772,Gestão Hospitalar,,,,,
2021,32,1468161,Matemática,,,,,
2021,38,1485594,"Ciências: Biologia, Física E Química",,,,,
2021,38,1485600,Letras - Português,,,,,
2021,38,116804,Matemática,,,,,
2021,38,1183209,Matemática,,,,,
2021,38,1485601,Pedagogia,,,,,
2021,40,1445879,Administração,,,,,
2021,40,1179874,Administração Pública,,,,,
2021,40,1184491,Ciência Da Computação,,,,,
2021,40,1203130,Ciências Biológicas,,,,,
2021,40,1134079,Educação Física,,,,,
2021,40,1160261,Geografia,,,,,
2021,40,1181052,História,,,,,
2021,40,1203132,Letras,,,,,
2021,40,1203135,Letras - Inglês,,,,,
2021,40,1203136,Matemática,,,,,
2021,40,1203134,Pedagogia,,,,,
2021,40,1203133,Química,,,,,
2021,43,5001250,Administração Pública,,,,,
2021,43,1598383,Biblioteconomia,,,,,
2021,43,1339438,Ciências Biológicas,,,,,
2021,43,1339440,Informática,,,,,
2021,43,1570348,Interdisciplinar Em Ciência E Tecnologia,,,,,
2021,43,1125448,Pedagogia,,,,,
2021,47,1452895,Administração,,,,,
2021,47,1454772,Administração,,,,,
2021,47,1182836,Administração Pública,,,,,
2021,47,1142423,Ciências Biológicas,,,,,
2021,47,1453459,Gestão Pública,,,,,
2021,47,5001161,História,,,,,
2021,47,5001162,Informática,,,,,
2021,47,1453458,Pedagogia,,,,,
2021,55,1102353,Ciências,,,,,
2021,56,1333118,Pedagogia,,,,,
2021,57,1134434,Administração Pública,,,,,
2021,57,150204,Ciências Biológicas,,,,,
2021,57,121295,Física,,,,,
2021,57,150205,História,,,,,
2021,57,1147008,Letras - Português E Inglês,,,,,
2021,57,121802,Pedagogia,,,,,
2021,71,1599775,Interdisciplinar Em Educação No Campo,,,,,
2021,71,1599718,Letras - Libras,,,,,
2021,71,1599774,Letras - Língua Inglesa,,,,,
2021,71,1356725,Letras - Língua Portuguesa,,,,,
2021,71,1599720,Música,,,,,
2021,367,1514633,Análise E Desenvolvimento De Sistemas,,,,,
2021,367,1305692,Educação Física,,,,,
2021,367,120657,Geografia,,,,,
2021,367,1514634,Gestão De Saúde Pública,,,,,
2021,367,1576053,Letras - Inglês,,,,,
2021,367,120782,Letras - Língua Portuguesa,,,,,
2021,367,120791,Pedagogia,,,,,
2021,367,1514638,Sistemas Para Internet,,,,,
2021,409,1188221,Administração Pública,,,,,
2021,409,87222,Ciências Biológicas,,,,,
2021,409,1400420,História,,,,,
2021,409,1188228,Letras,,,,,
2021,409,1188225,Pedagogia,,,,,
2021,547,100584,Ciências Biológicas,,,,,
2021,547,1404227,Geografia,,,,,
2021,547,71247,Pedagogia,,,,,
2021,550,5001295,Administração Pública,,,,,
2021,550,114971,Geografia,,,,,
2021,568,1143730,Administração Pública,,,,,
2021,568,1145108,Alimentos,,,,,
2021,568,1143719,Filosofia,,,,,
2021,568,1404153,Formação Pedagógica Para Portadores De Ensino Superior,,,,,
2021,568,1517793,Física,,,,,
2021,568,1404087,Geografia,,,,,
2021,568,5001323,Gestão Comercial,,,,,
2021,568,1363754,Música,,,,,
2021,568,1143724,Pedagogia,,,,,
2021,568,1382622,Segurança No Trabalho,,,,,
2021,609,1405760,Gestão Pública,,,,,
2021,609,1405718,Letras - Libras,,,,,
2021,609,1405723,Letras - Libras,,,,,
2021,666,5001302,Letras - Português,,,,,
2021,666,1404952,Pedagogia,,,,,
2021,719,1177442,Administração Pública,,,,,
2021,719,1404229,Artes Visuais,,,,,
2021,719,1382817,Ciências Biológicas,,,,,
2021,719,1402991,Ciências Contábeis,,,,,
2021,719,1404231,Geografia,,,,,
2021,719,1403006,História,,,,,
2021,719,1385357,Letras - Espanhol,,,,,
2021,719,1385360,Letras - Inglês,,,,,
2021,719,1472818,Matemática,,,,,
2021,719,1385361,Pedagogia,,,,,
2021,719,1404230,Sistemas De Informação,,,,,
2021,719,1457325,Turismo,,,,,
2021,730,1142486,Administração Pública,,,,,
2021,730,1399169,Computação E Informática,,,,,
2021,730,120761,Educação Física,,,,,
2021,730,121185,Geografia,,,,,
2021,730,1399166,Gestão Pública,,,,,
2021,730,120773,História,,,,,
2021,730,121181,Letras - Espanhol,,,,,
2021,730,120767,Matemática,,,,,
2021,730,120769,Pedagogia,,,,,
2021,756,1473558,Administração,,,,,
2021,756,1151127,Administração Pública,,,,,
2021,756,1360723,História,,,,,
2021,756,1121507,Letras - Espanhol,,,,,
2021,756,5001098,Letras - Inglês,,,,,
2021,756,5001099,Letras - Português,,,,,
2021,756,1360743,Matemática,,,,,
2021,756,5001097,Pedagogia,,,,,
2021,1027,58074,Ciências Biológicas,,,,,
2021,1027,1516874,Engenharia,,,,,
2021,1027,1465672,Pedagogia,,,,,
2021,1027,100553,Química,,,,,
2021,1036,5001272,Administração Pública,,,,,
2021,1126,150284,Administração Pública,,,,,
2021,1126,1404044,Artes,,,,,
2021,1126,88606,Ciências Biológicas,,,,,
2021,1126,1404041,Educação Física,,,,,
2021,1126,1445246,Gestão Pública,,,,,
2021,1126,1404042,Letras - Português,,,,,
2021,1126,150286,Pedagogia,,,,,
2021,15015,1409915,Gestão Pública,,,,,
2021,18165,1401620,Biologia,,,,,
2021,18165,1523256,Ciência De Dados,,,,,
2021,18165,1401591,Engenharia De Computação,,,,,
2021,18165,1401595,Engenharia De Produção,,,,,
2021,18165,1401622,Física,,,,,
2021,18165,1522594,Letras,,,,,
2021,18165,1401623,Matemática,,,,,
2021,18165,1442114,Pedagogia,,,,,
2021,18165,1401621,Química,,,,,
2021,76,1551432,Gestão De Recursos Humanos,,,,,
2021,76,1551441,Gestão Financeira,,,,,
2021,76,1551444,Processos Gerenciais,,,,,
2021,605,1103967,Administração,,,,,
2021,605,1601689,Gestão De Recursos Humanos,,,,,
2021,605,1601692,Gestão Financeira,,,,,
2021,605,1341949,Pedagogia,,,,,
2021,605,1601686,Processos Gerenciais,,,,,
2021,665,1385496,Administração,,,,,
2021,665,1363719,Agroecologia,,,,,
2021,665,1549986,Análise E Desenvolvimento De Sistemas,,,,,
2021,665,5001182,Apicultura E Meliponicultura,,,,,
2021,665,1152588,Artes Visuais,,,,,
2021,665,1321343,Artes Visuais - Programa Segunda Licenciatura,,,,,
2021,665,1152580,Ciências Biológicas,,,,,
2021,665,1458744,Ciências Contábeis,,,,,
2021,665,1467436,Educação Especial,,,,,
2021,665,1152585,Educação Física,,,,,
2021,665,1152589,Filosofia,,,,,
2021,665,1385367,Filosofia - Programa Segunda Licenciatura,,,,,
2021,665,1363208,Física,,,,,
2021,665,1152889,Geografia,,,,,
2021,665,1321336,Geografia - Programa Segunda Licenciatura,,,,,
2021,665,1152595,Gestão Comercial,,,,,
2021,665,1152596,Gestão De Recursos Humanos,,,,,
2021,665,1363717,Gestão Do Agronegócio,,,,,
2021,665,1425262,Gestão Financeira,,,,,
2021,665,1152590,História,,,,,
2021,665,1385318,História - Programa Segunda Licenciatura,,,,,
2021,665,1382816,Letras - Língua Portuguesa,,,,,
2021,665,1152678,Logística,,,,,
2021,665,1152591,Matemática,,,,,
2021,665,1385337,Matemática - Programa Segunda Licenciatura,,,,,
2021,665,1425255,Música,,,,,
2021,665,1152586,Pedagogia,,,,,
2021,665,1152597,Processos Gerenciais,,,,,
2021,665,1152592,Química,,,,,
2021,665,1385372,Química - Programa Segunda Licenciatura,,,,,
2021,665,1321344,Segunda Licenciatura Em Pedagogia Para Professores Em Exercício Na Educação Básica Pública,,,,,
2021,665,1549983,Sistemas De Informação,,,,,
2021,665,1152593,Sociologia,,,,,
2021,665,1385373,Sociologia - Programa Segunda Licenciatura,,,,,
2021,163,121297,Administração,,,,,
2021,163,1487665,Administração Pública,,,,,
2021,163,1119473,Análise E Desenvolvimento De Sistemas,,,,,
2021,163,1485757,Artes Visuais,,,,,
2021,163,1575500,Automação Industrial,,,,,
2021,163,1485748,Banco De Dados,,,,,
2021,163,1453286,Biomedicina,,,,,
2021,163,1518220,Ciência De Dados,,,,,
2021,163,1453298,Ciências Biológicas,,,,,
2021,163,1453299,Ciências Biológicas,,,,,
2021,163,1115471,Ciências Contábeis,,,,,
2021,163,1443998,Ciências Da Computação,,,,,
2021,163,1486627,Ciências Da Natureza,,,,,
2021,163,1444018,Ciências Econômicas,,,,,
2021,163,1486646,Ciências Exatas,,,,,
2021,163,1485795,Ciências Humanas,,,,,
2021,163,1517112,Ciências Políticas,,,,,
2021,163,1575509,Ciências Sociais,,,,,
2021,163,1515534,Computação,,,,,
2021,163,1498000,Comunicação Institucional,,,,,
2021,163,1177033,Comércio Exterior,,,,,
2021,163,1442999,Cozinha Contemporânea,,,,,
2021,163,1485772,Defesa Cibernética,,,,,
2021,163,1360115,Educação Física,,,,,
2021,163,1453302,Educação Física,,,,,
2021,163,1569024,Empreendedorismo,,,,,
2021,163,1203194,Engenharia Civil,,,,,
2021,163,1154048,Engenharia De Produção,,,,,
2021,163,1498018,Engenharia De Software,,,,,
2021,163,1364164,Engenharia Elétrica,,,,,
2021,163,1517075,Engenharia Mecânica,,,,,
2021,163,1453295,Estética E Cosmética,,,,,
2021,163,1453296,Farmácia,,,,,
2021,163,1404147,Filosofia,,,,,
2021,163,1425407,Fisioterapia,,,,,
2021,163,1485758,Física,,,,,
2021,163,1404146,Geografia,,,,,
2021,163,1443961,Geografia,,,,,
2021,163,1486625,Gerontologia - Bem-Estar E Educação,,,,,
2021,163,1174691,Gestão Ambiental,,,,,
2021,163,1178366,Gestão Comercial,,,,,
2021,163,1444005,Gestão Da Produção Industrial,,,,,
2021,163,1443967,Gestão Da Qualidade,,,,,
2021,163,1119481,Gestão Da Tecnologia Da Informação,,,,,
2021,163,1582284,Gestão De E-Commerce,,,,,
2021,163,1576556,Gestão De Mídias Digitais,,,,,
2021,163,1576565,Gestão De Mídias Sociais,,,,,
2021,163,1116776,Gestão De Recursos Humanos,,,,,
2021,163,1485806,Gestão De Segurança Privada,,,,,
2021,163,1182939,Gestão De Turismo,,,,,
2021,163,1576118,Gestão Desportiva E De Lazer,,,,,
2021,163,1515533,Gestão E Empreendedorismo,,,,,
2021,163,1174688,Gestão Financeira,,,,,
2021,163,1174577,Gestão Hospitalar,,,,,
2021,163,1175191,Gestão Pública,,,,,
2021,163,1160839,História,,,,,
2021,163,1443997,História,,,,,
2021,163,1363845,Investigação Forense E Perícia Criminal,,,,,
2021,163,1485749,Jogos Digitais,,,,,
2021,163,1485753,Jornalismo,,,,,
2021,163,1286429,Letras - Espanhol,,,,,
2021,163,1183559,Letras - Inglês,,,,,
2021,163,1486628,Letras - Libras - Língua Portuguesa,,,,,
2021,163,1125999,Letras - Língua Portuguesa,,,,,
2021,163,1485792,Letras - Língua Portuguesa,,,,,
2021,163,1124348,Logística,,,,,
2021,163,1116842,Marketing,,,,,
2021,163,1566450,Marketing Digital,,,,,
2021,163,1160830,Matemática,,,,,
2021,163,1485797,Matemática,,,,,
2021,163,1363843,Mediação,,,,,
2021,163,1204185,Negócios Imobiliários,,,,,
2021,163,1425409,Nutrição,,,,,
2021,163,1116879,Pedagogia,,,,,
2021,163,1485839,Processos Escolares,,,,,
2021,163,1161357,Processos Gerenciais,,,,,
2021,163,1585307,Produção De Conteúdo Digital,,,,,
2021,163,1566507,Psicopedagogia,,,,,
2021,163,1485794,Publicidade E Propaganda,,,,,
2021,163,1485756,Química,,,,,
2021,163,1453292,Radiologia,,,,,
2021,163,1175535,Redes De Computadores,,,,,
2021,163,1498104,Relações Internacionais,,,,,
2021,163,1487704,Secretariado Executivo,,,,,
2021,163,1487702,Segurança No Trabalho,,,,,
2021,163,1202868,Segurança Pública,,,,,
2021,163,1126004,Serviço Social,,,,,
2021,163,1566570,Serviços Jurídicos E Notariais,,,,,
2021,163,1119382,Sistemas De Informação,,,,,
2021,163,1485750,Sistemas Para Internet,,,,,
2021,163,1404148,Sociologia,,,,,
2021,163,1485778,Teatro,,,,,
2021,163,1516694,Tecnologias Educacionais,,,,,
2021,163,1404145,Teologia,,,,,
2021,163,1485755,Turismo,,,,,
2021,165,1312998,Administração,,,,,
2021,165,1591500,Agronegócio,,,,,
2021,165,1431648,Análise E Desenvolvimento De Sistemas,,,,,
2021,165,1591522,Artes Visuais,,,,,
2021,165,1591082,Biomedicina,,,,,
2021,165,1434934,Ciência Econômica,,,,,
2021,165,1591528,Ciências Biológicas,,,,,
2021,165,1312999,Ciências Contábeis,,,,,
2021,165,1591583,Ciências Sociais,,,,,
2021,165,1591529,Comércio Exterior,,,,,
2021,165,1591530,Educação Especial,,,,,
2021,165,1576604,Educação Física,,,,,
2021,165,1571904,Engenharia Civil,,,,,
2021,165,1591307,Engenharia De Computação,,,,,
2021,165,1431642,Engenharia De Produção,,,,,
2021,165,1571908,Engenharia Elétrica,,,,,
2021,165,1591293,Engenharia Mecânica,,,,,
2021,165,1591167,Estética E Cosmética,,,,,
2021,165,1591587,Filosofia,,,,,
2021,165,1571886,Fisioterapia,,,,,
2021,165,1591531,Geografia,,,,,
2021,165,1313001,Gestão Ambiental,,,,,
2021,165,1431653,Gestão Comercial,,,,,
2021,165,1591554,Gestão Da Produção Industrial,,,,,
2021,165,1591558,Gestão Da Qualidade,,,,,
2021,165,1452878,Gestão Da Tecnologia Da Informação,,,,,
2021,165,1313002,Gestão De Recursos Humanos,,,,,
2021,165,1313003,Gestão Financeira,,,,,
2021,165,1591566,Gestão Hospitalar,,,,,
2021,165,1591590,Gestão Pública,,,,,
2021,165,1385713,História,,,,,
2021,165,1591568,Investigação Forense E Perícia Criminal,,,,,
2021,165,1385720,Letras,,,,,
